,title,price,rating,reviews,link,req
201,Футболка оверсайз с принтом кэжуал андеграунд Nightmare by WD,1005,4.7,11115,https://www.wildberries.ru/catalog/205859043/detail.aspx,Футболка
202,Футболка однотонная хлопковая RosilyFashion,407,4.5,20648,https://www.wildberries.ru/catalog/239866953/detail.aspx,Футболка
203,Футболка велосипедисту с принтом индиго Макс-Экстрим,818,4.9,482,https://www.wildberries.ru/catalog/6219000/detail.aspx,Футболка
204,Футболка топ женский летний оверсайз ТЕЛОДВИЖЕНИЯ,508,4.9,141405,https://www.wildberries.ru/catalog/35497578/detail.aspx,Футболка
205,Футболка мужская хаки с иероглифами хлопок Япония Макс-Экстрим,636,4.8,19520,https://www.wildberries.ru/catalog/161791220/detail.aspx,Футболка
224,Футболка оверсайз хлопок однотонная Ticle,1012,4.8,102353,https://www.wildberries.ru/catalog/18911858/detail.aspx,Футболка
225,Футболка женская Cotton Care,415,4.8,1371,https://www.wildberries.ru/catalog/377492609/detail.aspx,Футболка
226,Футболка с принтом Юность с надписью мужская черная хлопок Mother Russia,922,4.7,474,https://www.wildberries.ru/catalog/14430666/detail.aspx,Футболка
227,Футболка для мальчика подростка светящаяся CRIMSON CAT,683,4.9,19049,https://www.wildberries.ru/catalog/335679074/detail.aspx,Футболка
228,Футболка оверсайз хлопок однотонная зеленная Ticle,961,4.8,89176,https://www.wildberries.ru/catalog/26477312/detail.aspx,Футболка
229,Футболка Волк оборотень хаки с принтом Макс-Экстрим,900,4.9,1290,https://www.wildberries.ru/catalog/54657955/detail.aspx,Футболка
230,Футболка с принтом детская светящаяся в темноте Валерка AM Glow,474,4.9,5846,https://www.wildberries.ru/catalog/177680700/detail.aspx,Футболка
231,Футболка плотная оверсайз с принтом удлиненная PREPARADE,1719,4.8,264,https://www.wildberries.ru/catalog/322197817/detail.aspx,Футболка
232,Футболка Олимпиада черная хлопок Mother Russia,922,4.7,811,https://www.wildberries.ru/catalog/33347483/detail.aspx,Футболка
233,Футболка топ женский летний оверсайз ТЕЛОДВИЖЕНИЯ,618,4.9,141405,https://www.wildberries.ru/catalog/87046129/detail.aspx,Футболка
234,Футболка базовая женская однотонная спортивная для фитнеса ТЕЛОДВИЖЕНИЯ,758,4.9,28381,https://www.wildberries.ru/catalog/221503643/detail.aspx,Футболка
235,Футболка детский с принтом HaVsA KIDS,670,4.8,1467,https://www.wildberries.ru/catalog/225034190/detail.aspx,Футболка
236,Футболка женская базовая Ohana market,453,4.6,11247,https://www.wildberries.ru/catalog/75783072/detail.aspx,Футболка
237,Футболка прямая с принтом By Art BOYKO YULIANA,1534,4.8,4531,https://www.wildberries.ru/catalog/25581702/detail.aspx,Футболка
238,Футболка хлопковая BULANTI,3190,4.8,175,https://www.wildberries.ru/catalog/134736702/detail.aspx,Футболка
